instance,n,m,A,B,ratio,base,best,mean,std,known_alpha,gap,relative_gap
C125.9,125,787,1,2.5,2.5,25,34,30.34,1.5570484899321537,34,0,0.0
C125.9,125,787,1,2.5,2.5,30,34,29.93,1.727744194028734,34,0,0.0
C125.9,125,787,1,2.5,2.5,40,33,29.29,1.608073381410189,34,1,0.029411764705882353
C125.9,125,787,1,2.5,2.5,50,33,28.95,1.8513508581573617,34,1,0.029411764705882353
C125.9,125,787,1,2.5,2.5,75,33,28.22,1.9625493624365224,34,1,0.029411764705882353
C125.9,125,787,1,2.5,2.5,100,33,28.02,1.9645864704817653,34,1,0.029411764705882353
C125.9,125,787,1,3,3,3,32,29.0,1.2806248474865698,34,2,0.058823529411764705
C125.9,125,787,1,3,3,4,34,30.38,1.426744546160945,34,0,0.0
C125.9,125,787,1,3,3,5,34,30.75,1.3665650368716449,34,0,0.0
C125.9,125,787,1,3,3,6,34,30.95,1.3219304066402287,34,0,0.0
C125.9,125,787,1,3,3,7,34,31.37,1.3758997056471813,34,0,0.0
C125.9,125,787,1,3,3,8,34,31.16,1.5538339679644027,34,0,0.0
C125.9,125,787,1,3,3,10,34,31.47,1.322535443759448,34,0,0.0
C125.9,125,787,1,3,3,12,34,31.09,1.4771255870778217,34,0,0.0
C125.9,125,787,1,3,3,15,34,30.67,1.6495757030218403,34,0,0.0
C125.9,125,787,1,3,3,18,34,30.23,1.7880436236289092,34,0,0.0
C125.9,125,787,1,3,3,20,34,30.1,1.808314132002512,34,0,0.0
C125.9,125,787,1,3,3,25,34,29.73,1.7768230075052494,34,0,0.0
C125.9,125,787,1,3,3,30,33,29.58,1.7039953051578516,34,1,0.029411764705882353
C125.9,125,787,1,3,3,40,33,28.97,1.7346757622103333,34,1,0.029411764705882353
C125.9,125,787,1,3,3,50,33,28.55,1.9306734576307825,34,1,0.029411764705882353
C125.9,125,787,1,3,3,75,33,27.84,1.820549367636044,34,1,0.029411764705882353
C125.9,125,787,1,3,3,100,33,27.6,1.9849433241279206,34,1,0.029411764705882353
C125.9,125,787,1,3.5,3.5,3,32,29.35,1.4378803844548405,34,2,0.058823529411764705
C125.9,125,787,1,3.5,3.5,4,33,30.41,1.312211873136347,34,1,0.029411764705882353
C125.9,125,787,1,3.5,3.5,5,34,30.78,1.404136745477448,34,0,0.0
C125.9,125,787,1,3.5,3.5,6,34,31.01,1.3601102896456596,34,0,0.0
C125.9,125,787,1,3.5,3.5,7,34,31.12,1.4372195378577344,34,0,0.0
C125.9,125,787,1,3.5,3.5,8,34,31.22,1.493854075872205,34,0,0.0
C125.9,125,787,1,3.5,3.5,10,34,31.12,1.2432216214336045,34,0,0.0
C125.9,125,787,1,3.5,3.5,12,34,30.93,1.4508962747212495,34,0,0.0
C125.9,125,787,1,3.5,3.5,15,34,30.59,1.6376507564190843,34,0,0.0
C125.9,125,787,1,3.5,3.5,18,34,30.15,1.7797471730557688,34,0,0.0
C125.9,125,787,1,3.5,3.5,20,34,29.96,1.76022725805505,34,0,0.0
C125.9,125,787,1,3.5,3.5,25,34,29.68,1.737124060048677,34,0,0.0
C125.9,125,787,1,3.5,3.5,30,33,29.43,1.6808033793397725,34,1,0.029411764705882353
C125.9,125,787,1,3.5,3.5,40,33,28.85,1.7853571071357128,34,1,0.029411764705882353
C125.9,125,787,1,3.5,3.5,50,33,28.5,1.9157244060668017,34,1,0.029411764705882353
C125.9,125,787,1,3.5,3.5,75,33,27.89,1.7826665420094696,34,1,0.029411764705882353
C125.9,125,787,1,3.5,3.5,100,33,27.61,1.9590558950678258,34,1,0.029411764705882353
C125.9,125,787,1,4,4,3,33,29.44,1.1689311356961967,34,1,0.029411764705882353
C125.9,125,787,1,4,4,4,34,30.5,1.2124355652982142,34,0,0.0
C125.9,125,787,1,4,4,5,34,30.71,1.2751078385768007,34,0,0.0
C125.9,125,787,1,4,4,6,33,31.06,1.4270248771482577,34,1,0.029411764705882353
C125.9,125,787,1,4,4,7,34,30.96,1.4485855169785458,34,0,0.0
C125.9,125,787,1,4,4,8,34,30.93,1.5313719339206917,34,0,0.0
C125.9,125,787,1,4,4,10,34,30.98,1.3036870790185808,34,0,0.0
C125.9,125,787,1,4,4,12,34,30.83,1.4903355326905412,34,0,0.0
C125.9,125,787,1,4,4,15,34,30.58,1.7560182231400674,34,0,0.0
C125.9,125,787,1,4,4,18,34,30.08,1.7302023003105733,34,0,0.0
C125.9,125,787,1,4,4,20,34,29.95,1.6454482671904334,34,0,0.0
C125.9,125,787,1,4,4,25,34,29.57,1.698558212131689,34,0,0.0
C125.9,125,787,1,4,4,30,33,29.34,1.7275416058665563,34,1,0.029411764705882353
C125.9,125,787,1,4,4,40,33,28.85,1.7853571071357128,34,1,0.029411764705882353
C125.9,125,787,1,4,4,50,33,28.5,1.9157244060668017,34,1,0.029411764705882353
C125.9,125,787,1,4,4,75,33,27.89,1.7826665420094696,34,1,0.029411764705882353
C125.9,125,787,1,4,4,100,33,27.61,1.9590558950678258,34,1,0.029411764705882353
C125.9,125,787,1,4.5,4.5,3,34,29.46,1.4242190842703941,34,0,0.0
C125.9,125,787,1,4.5,4.5,4,33,30.53,1.2284543133547947,34,1,0.029411764705882353
C125.9,125,787,1,4.5,4.5,5,34,30.69,1.3468110483657314,34,0,0.0
C125.9,125,787,1,4.5,4.5,6,34,30.97,1.4032462364104172,34,0,0.0
C125.9,125,787,1,4.5,4.5,7,34,30.85,1.5256146302392357,34,0,0.0
C125.9,125,787,1,4.5,4.5,8,33,31.03,1.41742724681022,34,1,0.029411764705882353
C125.9,125,787,1,4.5,4.5,10,34,30.99,1.3601102896456596,34,0,0.0
C125.9,125,787,1,4.5,4.5,12,34,30.85,1.4790199457749043,34,0,0.0
C125.9,125,787,1,4.5,4.5,15,34,30.61,1.7826665420094698,34,0,0.0
C125.9,125,787,1,4.5,4.5,18,34,30.05,1.7797471730557686,34,0,0.0
C125.9,125,787,1,4.5,4.5,20,34,29.98,1.624684584773303,34,0,0.0
C125.9,125,787,1,4.5,4.5,25,34,29.57,1.6808033793397725,34,0,0.0
C125.9,125,787,1,4.5,4.5,30,33,29.34,1.7275416058665563,34,1,0.029411764705882353
C125.9,125,787,1,4.5,4.5,40,33,28.85,1.7853571071357128,34,1,0.029411764705882353
C125.9,125,787,1,4.5,4.5,50,33,28.5,1.9157244060668017,34,1,0.029411764705882353
C125.9,125,787,1,4.5,4.5,75,33,27.89,1.7826665420094696,34,1,0.029411764705882353
C125.9,125,787,1,4.5,4.5,100,33,27.61,1.9590558950678258,34,1,0.029411764705882353
C125.9,125,787,1,5,5,3,33,29.62,1.3174217244299564,34,1,0.029411764705882353
C125.9,125,787,1,5,5,4,33,30.38,1.347442021016118,34,1,0.029411764705882353
C125.9,125,787,1,5,5,5,33,30.8,1.2884098726725126,34,1,0.029411764705882353
C125.9,125,787,1,5,5,6,34,30.94,1.4616429112474771,34,0,0.0
C125.9,125,787,1,5,5,7,34,30.97,1.5195723082499235,34,0,0.0
C125.9,125,787,1,5,5,8,33,31.09,1.421935300919138,34,1,0.029411764705882353
C125.9,125,787,1,5,5,10,34,30.97,1.3671503209230507,34,0,0.0
C125.9,125,787,1,5,5,12,34,30.86,1.4901006677402704,34,0,0.0
C125.9,125,787,1,5,5,15,34,30.62,1.7876241215647097,34,0,0.0
C125.9,125,787,1,5,5,18,34,30.04,1.799555500672319,34,0,0.0
C125.9,125,787,1,5,5,20,34,29.98,1.624684584773303,34,0,0.0
C125.9,125,787,1,5,5,25,34,29.57,1.6808033793397725,34,0,0.0
C125.9,125,787,1,5,5,30,33,29.34,1.7275416058665563,34,1,0.029411764705882353
C125.9,125,787,1,5,5,40,33,28.85,1.7853571071357128,34,1,0.029411764705882353
C125.9,125,787,1,5,5,50,33,28.5,1.9157244060668017,34,1,0.029411764705882353
C125.9,125,787,1,5,5,75,33,27.89,1.7826665420094696,34,1,0.029411764705882353
C125.9,125,787,1,5,5,100,33,27.61,1.9590558950678258,34,1,0.029411764705882353
MANN_a9,45,72,1,1.0,1.0,3,15,8.45,4.116734142496938,16,1,0.0625
MANN_a9,45,72,1,1.0,1.0,4,15,10.48,4.260234735316823,16,1,0.0625
MANN_a9,45,72,1,1.0,1.0,5,16,12.1,3.664696440361739,16,0,0.0
MANN_a9,45,72,1,1.0,1.0,6,16,13.06,3.1106912415088708,16,0,0.0
MANN_a9,45,72,1,1.0,1.0,7,16,13.63,2.8623591668412263,16,0,0.0
MANN_a9,45,72,1,1.0,1.0,8,16,14.51,1.7916193792209327,16,0,0.0
MANN_a9,45,72,1,1.0,1.0,10,16,14.68,1.9843386807699939,16,0,0.0
MANN_a9,45,72,1,1.0,1.0,12,16,15.19,1.5600961508830153,16,0,0.0
MANN_a9,45,72,1,1.0,1.0,15,16,15.43,1.210413152605341,16,0,0.0
MANN_a9,45,72,1,1.0,1.0,18,16,15.68,0.5268775948927796,16,0,0.0
MANN_a9,45,72,1,1.0,1.0,20,16,15.86,0.34698703145794946,16,0,0.0
MANN_a9,45,72,1,1.0,1.0,25,16,15.89,0.3433656942677879,16,0,0.0
MANN_a9,45,72,1,1.0,1.0,30,16,15.94,0.23748684174075835,16,0,0.0
MANN_a9,45,72,1,1.0,1.0,40,16,15.98,0.13999999999999999,16,0,0.0
MANN_a9,45,72,1,1.0,1.0,50,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,1.0,1.0,75,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,1.0,1.0,100,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,1.5,1.5,3,16,14.74,0.6726068688320095,16,0,0.0
MANN_a9,45,72,1,1.5,1.5,4,16,15.25,0.5545268253204708,16,0,0.0
MANN_a9,45,72,1,1.5,1.5,5,16,15.77,0.4208325082500163,16,0,0.0
MANN_a9,45,72,1,1.5,1.5,6,16,15.85,0.35707142142714254,16,0,0.0
MANN_a9,45,72,1,1.5,1.5,7,16,15.97,0.17058722109231986,16,0,0.0
MANN_a9,45,72,1,1.5,1.5,8,16,15.99,0.09949874371066199,16,0,0.0
MANN_a9,45,72,1,1.5,1.5,10,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,1.5,1.5,12,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,1.5,1.5,15,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,1.5,1.5,18,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,1.5,1.5,20,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,1.5,1.5,25,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,1.5,1.5,30,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,1.5,1.5,40,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,1.5,1.5,50,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,1.5,1.5,75,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,1.5,1.5,100,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2,2,3,16,15.45,0.5361902647381804,16,0,0.0
MANN_a9,45,72,1,2,2,4,16,15.92,0.2712931993250107,16,0,0.0
MANN_a9,45,72,1,2,2,5,16,15.95,0.21794494717703372,16,0,0.0
MANN_a9,45,72,1,2,2,6,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2,2,7,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2,2,8,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2,2,10,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2,2,12,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2,2,15,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2,2,18,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2,2,20,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2,2,25,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2,2,30,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2,2,40,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2,2,50,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2,2,75,16,15.97,0.17058722109231986,16,0,0.0
MANN_a9,45,72,1,2,2,100,16,15.92,0.2712931993250107,16,0,0.0
MANN_a9,45,72,1,2.5,2.5,3,16,15.79,0.407308237088326,16,0,0.0
MANN_a9,45,72,1,2.5,2.5,4,16,15.97,0.17058722109231983,16,0,0.0
MANN_a9,45,72,1,2.5,2.5,5,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2.5,2.5,6,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2.5,2.5,7,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2.5,2.5,8,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2.5,2.5,10,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2.5,2.5,12,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2.5,2.5,15,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2.5,2.5,18,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2.5,2.5,20,16,15.99,0.09949874371066199,16,0,0.0
MANN_a9,45,72,1,2.5,2.5,25,16,15.99,0.09949874371066199,16,0,0.0
MANN_a9,45,72,1,2.5,2.5,30,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,2.5,2.5,40,16,15.96,0.19595917942265423,16,0,0.0
MANN_a9,45,72,1,2.5,2.5,50,16,15.95,0.21794494717703367,16,0,0.0
MANN_a9,45,72,1,2.5,2.5,75,16,15.88,0.32496153618543844,16,0,0.0
MANN_a9,45,72,1,2.5,2.5,100,16,15.71,0.4537620521815371,16,0,0.0
MANN_a9,45,72,1,3,3,3,16,15.9,0.3,16,0,0.0
MANN_a9,45,72,1,3,3,4,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,3,3,5,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,3,3,6,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,3,3,7,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,3,3,8,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,3,3,10,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,3,3,12,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,3,3,15,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,3,3,18,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,3,3,20,16,15.99,0.09949874371066199,16,0,0.0
MANN_a9,45,72,1,3,3,25,16,15.98,0.13999999999999999,16,0,0.0
MANN_a9,45,72,1,3,3,30,16,15.96,0.19595917942265423,16,0,0.0
MANN_a9,45,72,1,3,3,40,16,15.94,0.23748684174075838,16,0,0.0
MANN_a9,45,72,1,3,3,50,16,15.91,0.28618176042508375,16,0,0.0
MANN_a9,45,72,1,3,3,75,16,15.83,0.40137264480778956,16,0,0.0
MANN_a9,45,72,1,3,3,100,16,15.67,0.4910193478876367,16,0,0.0
MANN_a9,45,72,1,3.5,3.5,3,16,15.95,0.21794494717703367,16,0,0.0
MANN_a9,45,72,1,3.5,3.5,4,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,3.5,3.5,5,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,3.5,3.5,6,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,3.5,3.5,7,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,3.5,3.5,8,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,3.5,3.5,10,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,3.5,3.5,12,16,16.0,0.0,16,0,0.0
MANN_a9,45,72,1,3.5,3.5,15,16,15.99,0.09949874371066199,16,0,0.0
MANN_a9,45,72,1,3.5,3.5,18,16,15.99,0.09949874371066199,16,0,0.0
MANN_a9,45,72,1,3.5,3.5,20,16,15.98,0.13999999999999999,16,0,0.0
MANN_a9,45,72,1,3.5,3.5,25,16,15.98,0.13999999999999999,16,0,0.0
